Country,Year,State,Region,POPULATION,MALE,FEMALE,Registered Voters,Collected PVCs,APC,PDP,Party 3,Party 4,Winner,Positive APC Score,Positive PDP Score,Positive Party 3 Score,Positive Party 4  Score,Naira Positive APC Score,Naira Positive PDP Score,Naira Positive Party 3 Score,Naira Positive Party 4 Score
NIGERIA,2023,ABIA,SE,"4,475,461","2,282,485","2,192,976","2,120,808","1,949,197","8,914","22,676","327,095","1,239",Party 3,47.31,81.61,4802.22,1.15,1.07,1.48,59.7,0.04
NIGERIA,2023,ADAMAWA,NE,"5,168,269","2,635,817","2,532,452","2,196,566","1,970,650","182,881","417,611","105,648","8,006",PDP,970.64,1502.91,1551.06,7.44,22.01,27.26,19.28,0.23
NIGERIA,2023,AKWA/IBOM,SS,"6,888,777","3,513,276","3,375,501","2,357,418","2,198,628","160,620","214,012","132,683","7,796",PDP,852.49,770.19,1947.98,7.24,19.33,13.97,24.21,0.22
NIGERIA,2023,ANAMBRA,SE,"6,680,877","3,407,247","3,273,630","2,656,437","2,624,764","5,111","9,036","584,621","1,967",Party 3,27.13,32.52,8583.07,1.83,0.62,0.59,106.69,0.06
NIGERIA,2023,BAUCHI,NE,"8,214,637","4,189,465","4,025,172","2,749,268","2,721,780","316,694","426,607","27,373","72,103",PDP,1680.85,1535.28,401.87,66.97,38.12,27.85,5,2.07
NIGERIA,2023,BAYELSA,SS,"2,771,164","1,413,294","1,357,870","1,056,862","1,009,895","42,572","68,818","49,975",540,PDP,225.95,247.66,733.7,0.5,5.12,4.49,9.12,0.02
NIGERIA,2023,BENUE,NC,"7,030,620","3,585,616","3,445,004","2,777,727","2,607,141","310,468","130,081","308,372","4,740",APC,1647.81,468.14,4527.34,4.4,37.37,8.49,56.28,0.14
NIGERIA,2023,BORNO,NE,"7,363,769","3,755,522","3,608,247","2,513,281","2,447,209","252,282","190,921",7205,4626,APC,1338.99,687.09,105.78,4.3,30.37,12.46,1.31,0.13
NIGERIA,2023,CROSS RIVER,SS,"4,703,358","2,398,712","2,304,645","1,766,466","1,672,810","130,520","95,425","179,917","1,644",Party 3,692.73,343.42,2641.44,1.53,15.71,6.23,32.84,0.05
NIGERIA,2023,DELTA,SS,"7,025,140","3,582,821","3,442,318","3,221,697","2,989,514","90,183","161,600","341,866","3,122",Party 3,478.65,581.57,5019.08,2.9,10.86,10.55,62.39,0.09
